編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
346,望眼欲穿,ㄨㄤˋ　ㄧㄢˇ　ㄩˋ　ㄔㄨㄢ,形容盼望極其深切。,望穿秋水、眼穿腸斷,不聞不問、無動於衷、漠不關心、漠然置之,望眼將穿、望眼應穿、望眼穿,主條成語
347,笑容可掬,ㄒㄧㄠˋ　ㄖㄨㄥˊ　ㄎㄜˇ　ㄐㄩˊ,形容笑容滿面的樣子。,眉開眼笑、笑逐顏開、喜形於色、喜笑顏開,咬牙切齒、悲不自勝、愁眉苦臉、滿面愁容,喜容可掬,主條成語
348,揮金如土,ㄏㄨㄟ　ㄐㄧㄣ　ㄖㄨˊ　ㄊㄨˇ,比喻極端浪費錢財。,一擲千金、日食萬錢、揮霍無度,一毛不拔、克勤克儉、愛財如命、鐵公雞,揮金似土,主條成語
349,爐火純青,ㄌㄨˊ　ㄏㄨㄛˇ　ㄔㄨㄣˊ　ㄑㄧㄥ,比喻學問、技術、功夫等到達精純完美的境地。褒義。,出神入化、鬼斧神工,,,主條成語
350,魚目混珠,ㄩˊ　ㄇㄨˋ　ㄏㄨㄣˋ　ㄓㄨ,比喻以假亂真。,以假亂真、濫竽充數,貨真價實,魚目亂珠、魚目入珠、魚目混珍、魚目為珠,主條成語
351,嗤之以鼻,ㄔ　ㄓ　ㄧˇ　ㄅㄧˊ,指用鼻子哼氣譏笑某一人事物以表示不屑、鄙視。,不屑一顧,另眼相看,,主條成語
352,駕輕就熟,ㄐㄧㄚˋ　ㄑㄧㄥ　ㄐㄧㄡˋ　ㄕㄡˊ,比喻對事情很熟悉，做起來很輕鬆。,得心應手、熟能生巧、熟路輕轍,,就熟駕輕、熟路輕車、輕車熟路,主條成語
353,鴉雀無聲,ㄧㄚ　ㄑㄩㄝˋ　ㄨˊ　ㄕㄥ,形容非常寂靜。,萬籟俱寂、闃寂無聲,人聲鼎沸、轟然雷動,悄不聞鴉、鴉雀無聞、鴉鵲無聲、鴉默雀靜,主條成語
354,舉棋不定,ㄐㄩˇ　ㄑㄧˊ　ㄅㄨˋ　ㄉㄧㄥˋ　（變）　ㄐㄩˇ　ㄑㄧˊ　ㄅㄨˊ　ㄉㄧㄥˋ,拿著棋子，不能決定下一步怎樣下。＆比喻做事猶豫不決，拿不定主意。,猶豫不決、優柔寡斷,當機立斷,,主條成語
355,痛定思痛,ㄊㄨㄥˋ　ㄉㄧㄥˋ　ㄙ　ㄊㄨㄥˋ,事後追思當時所遭之痛苦，也不知如何處理，而更加傷心。＆比喻吸取慘痛教訓，警惕未來。,,至死不悟、重蹈覆轍,痛減思痛,主條成語
356,黔驢技窮,ㄑㄧㄢˊ　ㄌㄩˊ　ㄐㄧˋ　ㄑㄩㄥˊ,比喻人拙劣的技能已經用完，再也無計可施了。,技止此耳、梧鼠技窮,神通廣大,黔驢之伎、黔驢之技、黔驢技盡,主條成語
357,孜孜不倦,ㄗ　ㄗ　ㄅㄨˋ　ㄐㄩㄢˋ　（變）　ㄗ　ㄗ　ㄅㄨˊ　ㄐㄩㄢˋ,指勤勉而不知疲倦。,,一暴十寒、無所用心、飽食終日,孜孜不怠、孳孳不倦、殷殷不倦,主條成語
358,急流勇退,ㄐㄧˊ　ㄌㄧㄡˊ　ㄩㄥˇ　ㄊㄨㄟˋ,在湍急的水勢中，當機立斷，回舟退出。＆比喻人處於得意順遂時及時隱退。,功成身退、適可而止,壯心不已,勇退急流,主條成語
359,赴湯蹈火,ㄈㄨˋ　ㄊㄤ　ㄉㄠˋ　ㄏㄨㄛˇ,比喻奮不顧身，不避艱險。,出生入死、肝腦塗地、粉身碎骨、奮不顧身,畏縮不前、貪生怕死,探湯赴火、探湯蹈火、赴湯投火、赴湯跳火、赴蹈湯火、蹈湯赴火、蹈赴湯火,主條成語
360,生吞活剝,ㄕㄥ　ㄊㄨㄣ　ㄏㄨㄛˊ　ㄅㄛ,比喻做學問或學習某事，只一味襲用他人的經驗或成果，而不求甚解。貶義。＆不加烹煮而生食。,不求甚解、生搬硬套、囫圇吞棗,融會貫通,活剝生吞,主條成語
361,暴虎馮河,ㄅㄠˋ　ㄏㄨˇ　ㄆㄧㄥˊ　ㄏㄜˊ,比喻人有勇而無謀。貶義。,有勇無謀、勇而無謀,智勇雙全、臨事而懼,憑河暴虎、暴虎憑河、馮河暴虎,主條成語
362,喋喋不休,ㄉㄧㄝˊ　ㄉㄧㄝˊ　ㄅㄨˋ　ㄒㄧㄡ,形容話多，沒完沒了。,呶呶不休、絮絮叨叨、嘵嘵不休,三緘其口、守口如瓶、沉默寡言、噤若寒蟬、默不作聲、默默無言,喋喋不已,主條成語
363,包藏禍心,ㄅㄠ　ㄘㄤˊ　ㄏㄨㄛˋ　ㄒㄧㄣ,懷藏詭計，圖謀害人。貶義。,心術不正、心懷鬼胎、居心叵測、圖謀不軌,,包藏姦心、包藏禍胎、包藏逆心、苞藏禍心,主條成語
364,四海為家,ㄙˋ　ㄏㄞˇ　ㄨㄟˊ　ㄐㄧㄚ,形容富有四海，天下一家。＆比喻人漂泊不定，居無定所。,天下為家、浪跡天涯、浪跡浮蹤、斷梗飄蓬,,,主條成語
365,請君入甕,ㄑㄧㄥˇ　ㄐㄩㄣ　ㄖㄨˋ　ㄨㄥˋ,比喻以其人之法，還治其人之身。＆比喻使人陷入已設計好的圈套。,以其人之道、還治其人之身、自作自受、作法自斃,,,主條成語
366,聞雞起舞,ㄨㄣˊ　ㄐㄧ　ㄑㄧˇ　ㄨˇ,比喻把握時機，及時奮起行動。,奮發圖強,,聞雞舞、雞鳴起舞,主條成語
367,旗鼓相當,ㄑㄧˊ　ㄍㄨˇ　ㄒㄧㄤ　ㄉㄤ,比喻雙方勢均力敵。,工力悉敵、不分軒輊、平分秋色、棋逢敵手、銖兩悉稱、勢均力敵,天淵之別、天壤之別,鼓旗相當,主條成語
368,倒行逆施,ㄉㄠˋ　ㄒㄧㄥˊ　ㄋㄧˋ　ㄕ,比喻不按照情理行事。＆比喻胡作非為的罪惡行為。,逆理違天、胡作非為、逆理違天、悖禮犯義,順天應人,逆施倒行、逆行倒施,主條成語
369,差強人意,ㄔㄚ　ㄑㄧㄤˊ　ㄖㄣˊ　ㄧˋ,比喻雖然不夠好，但大體上還能讓人滿意。,,,差強意,主條成語
370,樂不可支,ㄌㄜˋ　ㄅㄨˋ　ㄎㄜˇ　ㄓ,形容快樂到了極點。,手舞足蹈、喜不自勝、樂不可言、興高采烈、歡欣鼓舞,苦不堪言、柔腸寸斷、悲不自勝、痛不欲生,,主條成語
371,談虎色變,ㄊㄢˊ　ㄏㄨˇ　ㄙㄜˋ　ㄅㄧㄢˋ,比喻一提及某事就非常害怕。,心有餘悸、聞風喪膽,泰然自若,,主條成語
372,分道揚鑣,ㄈㄣ　ㄉㄠˋ　ㄧㄤˊ　ㄅㄧㄠ,形容各走各的路。＆比喻人依其志向，各奔前程。,各奔東西、各奔東西、各奔前程,並行不悖、齊頭並進、志同道合,分路揚鑣、揚鑣分路,主條成語
373,曇花一現,ㄊㄢˊ　ㄏㄨㄚ　ㄧ　ㄒㄧㄢˋ　（變）　ㄊㄢˊ　ㄏㄨㄚ　ㄧˊ　ㄒㄧㄢˋ,人或事物一出現便迅速消失。,好景不常、浮雲朝露、電光石火、過眼雲煙,千秋萬世、日久天長,一現曇花,主條成語
374,禮尚往來,ㄌㄧˇ　ㄕㄤˋ　ㄨㄤˇ　ㄌㄞˊ,比喻別人以禮相待，也要以禮回報。＆指你對我怎麼樣，我也對你怎麼樣。,投桃報李,水火不容,禮有往來,主條成語
375,節外生枝,ㄐㄧㄝˊ　ㄨㄞˋ　ㄕㄥ　ㄓ,比喻事外復生事端。,橫生枝節,一帆風順,節上生枝、節外生事、題外生枝,主條成語
376,高朋滿座,ㄍㄠ　ㄆㄥˊ　ㄇㄢˇ　ㄗㄨㄛˋ,形容賓客眾多。,門庭若市、座無虛席、賓客盈門,門可羅雀、門前冷落、青蠅弔客,賓朋滿座,主條成語
377,腳踏實地,ㄐㄧㄠˇ　ㄊㄚˋ　ㄕˊ　ㄉㄧˋ,比喻做事切實穩健。,實事求是、穩紮穩打,好大喜功、好高騖遠,腳踹實地、足履實地、足踏實地,主條成語
378,前功盡棄,ㄑㄧㄢˊ　ㄍㄨㄥ　ㄐㄧㄣˋ　ㄑㄧˋ,指以前辛苦獲得的成果，全部廢棄。,半途而廢、功敗垂成、功虧一簣、盡付東流,大功告成,前功併棄、前功必棄、前功皆棄、前功盡廢、前功盡滅、前勞盡棄,主條成語
379,招搖過市,ㄓㄠ　ㄧㄠˊ　ㄍㄨㄛˋ　ㄕˋ,指故意在人多的地方炫耀自己，以引人注意。,大搖大擺、前呼後擁,深藏若虛、韜光養晦,過市招搖,主條成語
380,井底之蛙,ㄐㄧㄥˇ　ㄉㄧˇ　ㄓ　ㄨㄚ,比喻見識淺薄的人。,坐井觀天、管中窺豹、管窺蠡測、牖中窺日,見多識廣、高瞻遠矚、博古通今,井中蛙、井底蝦蟆、井蛙之見、坎井之蛙、埳井之蛙,主條成語
381,梁上君子,ㄌㄧㄤˊ　ㄕㄤˋ　ㄐㄩㄣ　ㄗˇ,竊賊的代稱。,,正人君子,,主條成語
382,畫龍點睛,ㄏㄨㄚˋ　ㄌㄨㄥˊ　ㄉㄧㄢˇ　ㄐㄧㄥ,比喻繪畫、作文時在最重要之處加上一筆，使全體更加生動傳神。＆比喻做事能握要點，讓整件事更加圓滿。,,,點龍睛,主條成語
383,五十步笑百步,ㄨˇ　ㄕˊ　ㄅㄨˋ　ㄒㄧㄠˋ　ㄅㄞˇ　ㄅㄨˋ,比喻自己和別人有同樣的缺點或錯誤，卻自以為是而譏笑別人。,半斤八兩、相去無幾,天壤之別,五十步、五十笑百、百步五十步之間,主條成語
384,寄人籬下,ㄐㄧˋ　ㄖㄣˊ　ㄌㄧˊ　ㄒㄧㄚˋ,寄居他人屋下生活，不能自立。＆比喻作品因襲守舊，不能自創一格。,仰人鼻息、依人作嫁,自力更生、自立門戶、自食其力、獨樹一幟,依人籬下、依人藩籬、傍人籬落、傍人門戶,主條成語
385,開源節流,ㄎㄞ　ㄩㄢˊ　ㄐㄧㄝˊ　ㄌㄧㄡˊ,開發財源，節省支出，以儲蓄財力。,強本節用、澄源節流,坐吃山空,節流開源,主條成語
386,既往不咎,ㄐㄧˋ　ㄨㄤˇ　ㄅㄨˋ　ㄐㄧㄡˋ　（變）　ㄐㄧˋ　ㄨㄤˇ　ㄅㄨˊ　ㄐㄧㄡˋ,對過去的錯誤不再追究責難。,,嚴懲不貸,不咎既往、既往不究、既往不追,主條成語
387,興高采烈,ㄒㄧㄥˋ　ㄍㄠ　ㄘㄞˇ　ㄌㄧㄝˋ,形容興致勃勃，情緒熱烈的樣子。,手舞足蹈、歡天喜地、歡欣鼓舞,灰心喪氣、沒精打采、長吁短嘆、悶悶不樂、意興闌珊、興味索然、鬱鬱寡歡,興高彩烈,主條成語
388,張冠李戴,ㄓㄤ　ㄍㄨㄢ　ㄌㄧˇ　ㄉㄞˋ,比喻認錯對象或弄錯事情。,,,李戴張帽,主條成語
389,不入虎穴，焉得虎子,ㄅㄨˋ　ㄖㄨˋ　ㄏㄨˇ　ㄒㄩㄝˋ　ㄧㄢ　ㄉㄜˊ　ㄏㄨˇ　ㄗˇ　（變）　ㄅㄨˊ　ㄖㄨˋ　ㄏㄨˇ　ㄒㄩㄝˋ　ㄧㄢ　ㄉㄜˊ　ㄏㄨˇ　ㄗˇ,比喻想要達到目標就必須冒險。,,知難而退,不入獸穴，安得獸子、不入虎穴，不得虎子、不探虎穴，安得虎子、入虎穴得虎子、虎穴得子,主條成語
390,匹夫之勇,ㄆㄧˇ　ㄈㄨ　ㄓ　ㄩㄥˇ,形容人有勇無謀。,有勇無謀、血氣之勇、暴虎馮河,智勇雙全,,主條成語
391,食言而肥,ㄕˊ　ㄧㄢˊ　ㄦˊ　ㄈㄟˊ,比喻經常說話都不守信用。貶義。,出爾反爾、自食其言、言而無信,一言九鼎、一諾千金、言而有信,,主條成語
392,伯仲之間,ㄅㄛˊ　ㄓㄨㄥˋ　ㄓ　ㄐㄧㄢ,形容人才能相當，不相上下。,不分軒輊、不相上下、平分秋色、勢均力敵、旗鼓相當,大相逕庭、天差地遠、天淵之別、天壤之別、天懸地隔,伯仲間,主條成語
393,走投無路,ㄗㄡˇ　ㄊㄡˊ　ㄨˊ　ㄌㄨˋ,形容處境窘困。,山窮水盡、日暮途窮、窮途末路,柳暗花明、絕處逢生,走投沒路、走頭沒路、走頭無路,主條成語
394,呼風喚雨,ㄏㄨ　ㄈㄥ　ㄏㄨㄢˋ　ㄩˇ,指人有召喚風雨的法力。＆比喻人神通廣大、影響力深遠。,扭轉乾坤、神通廣大、興雲致雨,,喚雨呼風,主條成語
395,茅塞頓開,ㄇㄠˊ　ㄙㄜˋ　ㄉㄨㄣˋ　ㄎㄞ,比喻閉塞的心思，頓時豁然醒悟。,恍然大悟、撥雲見日、豁然貫通、豁然開朗,大惑不解、百思不解、茫然不解、莫名其妙,茅塞頓啟、開茅塞、頓開茅塞,主條成語
396,生靈塗炭,ㄕㄥ　ㄌㄧㄥˊ　ㄊㄨˊ　ㄊㄢˋ,形容人民處於極端艱苦的困境。,水深火熱、民不聊生、赤地千里、哀鴻遍野,四海昇平、安居樂業、國泰民安、豐衣足食,塗炭生民、塗炭生靈、民墜塗炭、民生塗炭、生民塗炭、生靈塗地、生齒塗炭,主條成語
397,登峰造極,ㄉㄥ　ㄈㄥ　ㄗㄠˋ　ㄐㄧˊ,登上山峰，到達絕頂。＆比喻成就達到極點或造詣高深精絕。,出神入化、超凡入聖、盡善盡美,,造極登峰,主條成語
398,正襟危坐,ㄓㄥˋ　ㄐㄧㄣ　ㄨㄟˊ　ㄗㄨㄛˋ,形容莊重誠敬的樣子。,威儀孔時,回頭掣腦、威儀不肅,整襟危坐、歛襟危坐、正襟安坐、肅襟危坐,主條成語
399,目中無人,ㄇㄨˋ　ㄓㄨㄥ　ㄨˊ　ㄖㄣˊ,形容人高傲自大，瞧不起別人。貶義。,不可一世、目空一切、目無餘子、妄自尊大、夜郎自大、旁若無人、唯我獨尊,虛己受人、虛懷若谷,眼無人,主條成語
400,順水推舟,ㄕㄨㄣˋ　ㄕㄨㄟˇ　ㄊㄨㄟ　ㄓㄡ,比喻順應情勢行事。,因利乘便、因勢利導,逆水行舟,借水推船、趁水推舟、順水推船、順水放船、順水流舟、順水行舟,主條成語
401,節衣縮食,ㄐㄧㄝˊ　ㄧ　ㄙㄨㄛ　ㄕˊ,用來形容生活節儉。,布衣蔬食、省吃儉用,花天酒地、揮霍無度、窮奢極侈,殺衣縮食、節縮衣食、節食縮衣、縮衣節口、縮衣節食,主條成語
402,招搖撞騙,ㄓㄠ　ㄧㄠˊ　ㄓㄨㄤˋ　ㄆㄧㄢˋ,形容借名炫耀，到處詐騙。,,,撞騙招搖,主條成語
403,杯盤狼藉,ㄅㄟ　ㄆㄢˊ　ㄌㄤˊ　ㄐㄧˊ,形容宴飲進行或結束時，杯盤散亂的情形。,,,杯盤狼籍、狼籍盃盤,主條成語
404,游刃有餘,ㄧㄡˊ　ㄖㄣˋ　ㄧㄡˇ　ㄩˊ,,,,,非主條成語
405,懸崖勒馬,ㄒㄩㄢˊ　ㄧㄞˊ　ㄌㄜˋ　ㄇㄚˇ,比喻到了危險的邊緣而及時回頭。,浪子回頭、迷途知返,至死不悟、執迷不悟,勒馬懸崖、臨崖勒馬,主條成語
406,肆無忌憚,ㄙˋ　ㄨˊ　ㄐㄧˋ　ㄉㄢˋ,形容人恣意妄為，毫無顧忌。,為所欲為、肆意妄為、橫行無忌,安分守己、循規蹈矩、謹言慎行,一無忌憚、全無忌憚、無忌憚、略無忌憚、百無忌憚、益無忌憚,主條成語
407,手不釋卷,ㄕㄡˇ　ㄅㄨˋ　ㄕˋ　ㄐㄩㄢˋ　（變）　ㄕㄡˇ　ㄅㄨˊ　ㄕˋ　ㄐㄩㄢˋ,形容人勤奮好學。,孜孜不倦、學而不厭,一曝十寒、三天打魚、兩天曬網,卷不輟手、手不輟卷、手卷不釋,主條成語
408,春風得意,ㄔㄨㄣ　ㄈㄥ　ㄉㄜˊ　ㄧˋ,指考中後稱心如意的感受。＆形容人因事情如願以償而心情愉悅滿足。,志得意滿、得意洋洋、洋洋自得、躊躇滿志,灰心喪氣、垂頭喪氣、鬱鬱寡歡,,主條成語
409,不足掛齒,ㄅㄨˋ　ㄗㄨˊ　ㄍㄨㄚˋ　ㄔˇ,指人或事物輕微，不值得一提。,不足齒數、不值一提、微不足道,非同小可、舉足輕重,何足掛齒、無足挂齒,主條成語
410,不識時務,ㄅㄨˋ　ㄕˋ　ㄕˊ　ㄨˋ　（變）　ㄅㄨˊ　ㄕˋ　ㄕˊ　ㄨˋ,比喻不知利用時運以求通達。＆形容不了解眼前狀況的愚魯態度。,不合時宜、不知好歹、不知進退,識時達務,不識時變、不達時務,主條成語
411,石破天驚,ㄕˊ　ㄆㄛˋ　ㄊㄧㄢ　ㄐㄧㄥ,形容樂器彈奏出來的聲音高亢激越。＆用來形容事物或言論新奇驚人。,出人意表、擲地有聲、驚天動地,平淡無奇、語不驚人,天驚石破,主條成語
412,覆水難收,ㄈㄨˋ　ㄕㄨㄟˇ　ㄋㄢˊ　ㄕㄡ,比喻離異的夫妻很難再復合。 ＆比喻既定的事實很難再改變。,木已成舟、反水不收、生米煮成熟飯,破鏡重圓,水覆難收、潑水難收,主條成語
413,難兄難弟,（一）ㄋㄢˊ　ㄒㄩㄥ　ㄋㄢˊ　ㄉㄧˋ（二）ㄋㄢˋ　ㄒㄩㄥ　ㄋㄢˋ　ㄉㄧˋ,形容兄弟二人才德相當，難分高下。（難，音ㄋㄢˊ）＆諷刺兩人同樣差勁，表現差不多。（難，音ㄋㄢˊ）＆形容同處困境、共同患難的朋友。（難，音ㄋㄢˋ）,一丘之貉、患難之交、患難與共,,元方季方、難弟難兄,主條成語
414,海闊天空,ㄏㄞˇ　ㄎㄨㄛˋ　ㄊㄧㄢ　ㄎㄨㄥ,形容天地遼闊而無邊際。＆比喻心胸開闊、心情開朗＆形容無拘無束，漫無邊際的樣子。,無邊無際、天南地北、不著邊際、海說神聊、漫無邊際,,天空地闊、天空海闊、水闊天空、海闊天高,主條成語
415,偷天換日,ㄊㄡ　ㄊㄧㄢ　ㄏㄨㄢˋ　ㄖˋ,比喻騙局之大與技巧之妙。,弄虛作假、魚目混珠、移花接木、偷梁換柱,光明磊落、貨真價實,換日偷天,主條成語
416,七上八下,ㄑㄧ　ㄕㄤˋ　ㄅㄚ　ㄒㄧㄚˋ,形容心情起伏不定、忐忑不安。,心神不定、六神無主、如坐針氈、坐立不安、忐忑不安、惴惴不安,心安神泰、泰然自若、泰然處之,七上八落,主條成語
417,孤芳自賞,ㄍㄨ　ㄈㄤ　ㄗˋ　ㄕㄤˇ,比喻自命清高，自我欣賞。,古調獨彈、自命不凡、自命清高、孤高自許,自慚形穢,孤芳自愛,主條成語
418,束手無策,ㄕㄨˋ　ㄕㄡˇ　ㄨˊ　ㄘㄜˋ,比喻面對問題時，毫無解決的辦法。,一籌莫展、手足無措、計無所出、無計可施,急中生智、計出萬全、胸有成竹、錦囊妙計、應付裕如,拱手無措、束手無措、束手無計、束手無謀、袖手無策,主條成語
419,心心相印,ㄒㄧㄣ　ㄒㄧㄣ　ㄒㄧㄤ　ㄧㄣˋ,比喻彼此心意互通。,同心合意、情投意合,同床異夢、格格不入、貌合神離,,主條成語
420,空穴來風,ㄎㄨㄥ　ㄒㄩㄝˋ　ㄌㄞˊ　ㄈㄥ,比喻事出有因，流言乘隙而入。＆比喻憑空捏造不實的傳言。,流言蜚語、捕風捉影、無中生有、無風起浪、無稽之談,有案可稽、無風不起浪、實事求是,,主條成語
421,步步為營,ㄅㄨˋ　ㄅㄨˋ　ㄨㄟˊ　ㄧㄥˊ,比喻行動謹慎，防備周全。,穩紮穩打,橫衝直撞,,主條成語
422,坐以待斃,ㄗㄨㄛˋ　ㄧˇ　ㄉㄞˋ　ㄅㄧˋ,比喻面臨危難，不採取積極的應變措施，只坐等敗亡。,引頸受戮、束手待斃、束手就擒,困獸猶鬥、垂死掙扎、負嵎頑抗,坐待焚滅、坐而待弊、坐而待斃、坐而待死、安坐待斃,主條成語
423,一舉兩得,ㄧ　ㄐㄩˇ　ㄌㄧㄤˇ　ㄉㄜˊ　（變）　ㄧˋ　ㄐㄩˇ　ㄌㄧㄤˇ　ㄉㄜˊ,比喻做一件事，同時有兩方面的收穫。,一石二鳥、一箭雙雕、事半功倍,一無所得、事倍功半、徒勞無功、顧此失彼,一舉兩便、一舉兩全、一舉兩利,主條成語
424,心照不宣,ㄒㄧㄣ　ㄓㄠˋ　ㄅㄨˋ　ㄒㄩㄢ,彼此心裡明白，不必言語說明。,心知肚明、心照神交、心領神會,,,主條成語
425,一介不取,ㄧ　ㄐㄧㄝˋ　ㄅㄨˋ　ㄑㄩˇ　（變）　ㄧˊ　ㄐㄧㄝˋ　ㄅㄨˋ　ㄑㄩˇ,形容人的操守非常清廉。,臨財不苟,中飽私囊、見利忘義、貪得無厭,不取一芥,主條成語
426,守口如瓶,ㄕㄡˇ　ㄎㄡˇ　ㄖㄨˊ　ㄆㄧㄥˊ,比喻嚴守祕密。,三緘其口、隻字不提、祕而不宣、緘口不言、諱莫如深,直言不諱、直言無隱、和盤托出,緘口如瓶,主條成語
427,人云亦云,ㄖㄣˊ　ㄩㄣˊ　ㄧˋ　ㄩㄣˊ,形容沒有獨自的見解，只會盲從跟隨。,一犬吠形、百犬吠聲、吠影吠聲、拾人牙慧、拾人涕唾、隨聲附和、鸚鵡學舌,自成一家、獨樹一幟,,主條成語
428,自投羅網,ㄗˋ　ㄊㄡˊ　ㄌㄨㄛˊ　ㄨㄤˇ,比喻落入他人圈套或自取禍害。,自掘墳墓、自墜陷阱,全身遠害,,主條成語
429,人面獸心,ㄖㄣˊ　ㄇㄧㄢˋ　ㄕㄡˋ　ㄒㄧㄣ,形容人凶狠殘暴，如野獸一般。貶義。,行同狗彘、衣冠禽獸、衣冠梟獍、狼心狗肺、梟獍其心,面惡心善、菩薩心腸,獸心人面,主條成語
430,忘恩負義,ㄨㄤˋ　ㄣ　ㄈㄨˋ　ㄧˋ,受人恩惠不知報答，反而做出對不起恩人的事情。,見利忘義、知恩不報、背信棄義、背恩負義、恩將仇報、過河抽板、過河拆橋,沒齒不忘、知恩報德、結草銜環、感恩戴德,孤恩負德、孤恩負義、忘恩失義、忘恩背義、背恩忘義、負德忘恩、負義忘恩,主條成語
431,力透紙背,ㄌㄧˋ　ㄊㄡˋ　ㄓˇ　ㄅㄟˋ,形容人的書法遒勁有力。＆形容文章立意深刻有力。,入木三分,,筆力透背,主條成語
432,成竹在胸,ㄔㄥˊ　ㄓㄨˊ　ㄗㄞˋ　ㄒㄩㄥ,,,,,非主條成語
433,小心翼翼,ㄒㄧㄠˇ　ㄒㄧㄣ　ㄧˋ　ㄧˋ,形容舉止十分謹慎，不敢疏忽。,兢兢業業、戰戰兢兢、臨深履薄、謹小慎微,大而化之、粗心大意、敷衍了事,翼翼小心,主條成語
434,一目十行,ㄧ　ㄇㄨˋ　ㄕˊ　ㄏㄤˊ　（變）　ㄧˊ　ㄇㄨˋ　ㄕˊ　ㄏㄤˊ,形容閱讀速度很快。,,,一目五行、一目數行、七行俱下、五行並下、五行俱下、十行一目、十行俱下、數行並下、目下十行,主條成語
435,大逆不道,ㄉㄚˋ　ㄋㄧˋ　ㄅㄨˋ　ㄉㄠˋ　（變）　ㄉㄚˋ　ㄋㄧˋ　ㄅㄨˊ　ㄉㄠˋ,指違反倫常，罪惡深重。貶義。,罪大惡極、離經叛道,安分守己、循規蹈矩,大逆無道、罪逆不道,主條成語
436,口碑載道,ㄎㄡˇ　ㄅㄟ　ㄗㄞˋ　ㄉㄠˋ,比喻廣受好評。褒義。,交口稱譽、頌聲載道,千夫所指、怨聲載道、臭名遠揚、惡名昭彰,有口皆碑,主條成語
437,失之交臂,ㄕ　ㄓ　ㄐㄧㄠ　ㄅㄧˋ,指錯失機會。,坐失良機,天假良緣,交臂失之、失交臂,主條成語
438,上行下效,ㄕㄤˋ　ㄒㄧㄥˊ　ㄒㄧㄚˋ　ㄒㄧㄠˋ,指在上位的人怎麼做，下面的人就起而效法。,風行草偃,,上為下效,主條成語
439,一刀兩斷,ㄧ　ㄉㄠ　ㄌㄧㄤˇ　ㄉㄨㄢˋ　（變）　ㄧˋ　ㄉㄠ　ㄌㄧㄤˇ　ㄉㄨㄢˋ,比喻堅決地斷絕關係。,,藕斷絲連,一刀兩段、一劍兩段,主條成語
440,川流不息,ㄔㄨㄢ　ㄌㄧㄡˊ　ㄅㄨˋ　ㄒㄧˊ,形容連綿不絕。,車水馬龍、絡繹不絕、熙來攘往,稀稀落落,川流不舍,主條成語
441,毛骨悚然,ㄇㄠˊ　ㄍㄨˇ　ㄙㄨㄥˇ　ㄖㄢˊ,形容極端驚懼害怕。,不寒而慄、毛髮聳然、心驚膽跳、膽戰心驚,面不改色,毛骨俱竦、毛骨竦然、毛髮悚然、毛髮為聳、毛髮竦然,主條成語
442,天涯海角,ㄊㄧㄢ　ㄧㄚˊ　ㄏㄞˇ　ㄐㄧㄠˇ,形容偏僻或相距遙遠的地方。,天南地北,近在咫尺,地角天涯、天涯地角、天涯地隅、海角天涯,主條成語
443,先聲奪人,ㄒㄧㄢ　ㄕㄥ　ㄉㄨㄛˊ　ㄖㄣˊ,謂先張大聲威，以挫敗敵人士氣。,先發制人,,,主條成語
444,心不在焉,ㄒㄧㄣ　ㄅㄨˋ　ㄗㄞˋ　ㄧㄢ　（變）　ㄒㄧㄣ　ㄅㄨˊ　ㄗㄞˋ　ㄧㄢ,比喻心思不集中。,魂不守舍、漫不經心,全神貫注、聚精會神,,主條成語
445,心花怒放,ㄒㄧㄣ　ㄏㄨㄚ　ㄋㄨˋ　ㄈㄤˋ,形容心情極其快活。,欣喜若狂、笑逐顏開、興高采烈,心如刀割、肝腸寸斷、愁腸百結,心花怒發、心花怒開,主條成語
446,九死一生,ㄐㄧㄡˇ　ㄙˇ　ㄧ　ㄕㄥ　（變）　ㄐㄧㄡˇ　ㄙˇ　ㄧˋ　ㄕㄥ,形容歷經極大的危險而倖存。,千鈞一髮、死裡逃生、虎口餘生,安然無恙,九死餘生、十死一生、十生九死、萬死一生,主條成語
447,三思而行,ㄙㄢ　ㄙ　ㄦˊ　ㄒㄧㄥˊ,比喻謹慎行事。,行成於思、深思熟慮,冒昧從事、草率從事、輕舉妄動,,主條成語
448,三長兩短,ㄙㄢ　ㄔㄤˊ　ㄌㄧㄤˇ　ㄉㄨㄢˇ,比喻意外的變故，一般多指意外死亡。,一差二錯、山高水低,平安無事、安堵如故,一長二短、一長兩短、一長半短、三長四短、兩短三長,主條成語
449,汗流浹背,ㄏㄢˋ　ㄌㄧㄡˊ　ㄐㄧㄚˊ　ㄅㄟˋ,汗流很多，溼透了背部。＆形容非常驚恐的樣子。＆形容工作辛勞。,汗出如漿、汗如雨下、揮汗如雨,,汗出沾背、汗流洽背、汗流浹體、洽背汗流、流汗沾背、流汗浹背,主條成語
450,白駒過隙,ㄅㄞˊ　ㄐㄩ　ㄍㄨㄛˋ　ㄒㄧˋ,比喻時間過得很快。,日月如梭、日居月諸、石火電光、光陰似箭、光陰荏苒、歲月如流,,過隙之駒、過隙白駒、隙過白駒、馳驥過欞,主條成語
451,寸草春暉,ㄘㄨㄣˋ　ㄘㄠˇ　ㄔㄨㄣ　ㄏㄨㄟ,比喻父母恩情深重，子女難以報答。,恩重如山,六親不認、忘恩負義,三春寸草、春暉寸草,主條成語
